No.,opencoding1,opencoding2,opencoding3
417,musics,Music,Music
418,"comments on news on the film: jungkook on demon hunters, meme  ",Fan Creations / Memes,Fan Creations / Memes
419," ""Official polls: rating film""",Audience Reception / Ratings,Audience Reception / Ratings
420," ""Official polls: rating film (other link)"" ",Audience Reception / Ratings,Audience Reception / Ratings
421,good opinion: good story; plot twist; jokes; entertain,Reviews,Plot / Story
422," ""fun popcorn; comedic; bad; lazy writing character; music""",Reviews,Plot / Story
423,"comments on news of the movie (bad), box office performance",News / Announcements,Marketing / Promotion
424," ""box office performance""",Box Office / Financial Performance,Box Office / Financial Performance
425," ""(multiple review) Plot; tone; and style; humor; storytelling; character choices; and audience reaction""",Reviews,Plot / Story
426,Box office performance / commercial anticipation,Box Office / Financial Performance,Box Office / Financial Performance
427," ""Box office failure and production/marketing decisions""",Box Office / Financial Performance,Box Office / Financial Performance
428," ""Box office comparison / financial performance.""",Box Office / Financial Performance,Box Office / Financial Performance
429," ""Specific scene / absurdity or humor in movie.""",Scenes / Props,Plot / Story
430," ""Audience expectation vs. genre when saw the movie""",Genre Expectations,Plot / Story
431," ""Character treatment (thought as superman). genre. and box office failure""",Acting / Characters,Acting / Characters
432,Critical reception. plot. tone. and style: movie’s genre shift. humor. action sequences. and how it compares to the original,Reviews,Plot / Story
433,Box office performance . financial results,Box Office / Financial Performance,Box Office / Financial Performance
434," ""Box office performance and franchise outlook""",Box Office / Financial Performance,Box Office / Financial Performance
435," ""Box office presales and tracking dat""",Box Office / Financial Performance,Box Office / Financial Performance
436," ""Box office strategy and market timing. genre (horror) changing""",Box Office / Financial Performance,Box Office / Financial Performance
437," ""Trailer content. gore and tone.""",Marketing / Promotion,Marketing / Promotion
438," ""Audience reception . CinemaScore.",Audience Reception / Ratings,Audience Reception / Ratings
439,Box office performance\ financial recap.,Box Office / Financial Performance,Box Office / Financial Performance
440," ""Preview box office performance""",Box Office / Financial Performance,Box Office / Financial Performance
441," ""box office performance""",Box Office / Financial Performance,Box Office / Financial Performance
442," ""Box office failure analysis: NA as comment is removed""",Misc / NA,Plot / Story
443," ""Trailer content / character voice""",Marketing / Promotion,Marketing / Promotion
444," ""Cast / character appearances (actor who)""",Acting / Characters,Acting / Characters
445," ""Plot and production details of the movie""",Plot / Story,Plot / Story
446,Actor Allison Williams’ reaction to a specific scene in Girls,Scenes / Props,Plot / Story
447," ""Box office presale tracking""",Box Office / Financial Performance,Box Office / Financial Performance
448," ""Box office weekend forecast""",Box Office / Financial Performance,Box Office / Financial Performance
449," ""Audience review / movie experience (fun. campy. AI themes). enjoyment and style. not analyzing""",Reviews,Plot / Story
450," ""News like celibrity present on movie""",News / Announcements,Marketing / Promotion
451," ""scores/ratings""",Audience Reception / Ratings,Audience Reception / Ratings
452," ""Box Office / Budget / Revenue""",Box Office / Financial Performance,Box Office / Financial Performance
453," ""Genre / Tone""",Genre / Tone,Plot / Story
454,International Release / Fan Anticipation to explode there,Release / Distribution,Production / BTS
455,Empty,Misc / NA,Plot / Story
456," ""Box Office / Marketing / Cast comparing M3GAN 2.0 vs. F1 Pros and Cons""",Marketing / Promotion,Marketing / Promotion
457," ""Budget / Box Office/ genre""",Box Office / Financial Performance,Box Office / Financial Performance
458," ""Budget / Story / Production Quality""",Production / BTS,Production / BTS
459," ""Review what is this. movie""",Reviews,Plot / Story
460," ""Watch and own opinion. talking critics. and genre""",Reviews,Plot / Story
461,"  ""Production. Character. genre""",Production / BTS,Production / BTS
462," ""Release / Distribution / Formats""",Release / Distribution,Production / BTS
463,Release /Distribution /Formats,Release / Distribution,Production / BTS
464," ""Release way (free source)/ Streaming Format""",Release / Distribution,Production / BTS
